file,label,category,duration_sec,loopable,default_volume,license,source_url,notes
triggers/book_handling/book_handling_01.wav,book_handling,trigger,1.274,false,0.4,CC0,https://freesound.org/people/IsakIzzy/sounds/572018/,Papercrackle2.wav by IsakIzzy; fs_loopable=False
triggers/book_handling/book_handling_02.wav,book_handling,trigger,5.433,false,0.4,CC0,https://freesound.org/people/kevinpro/sounds/382231/,Book Sounds by kevinpro; fs_loopable=False
triggers/book_handling/book_handling_03.wav,book_handling,trigger,1.389,false,0.4,CC0,https://freesound.org/people/IsakIzzy/sounds/572017/,Papercrackle3.wav by IsakIzzy; fs_loopable=False
triggers/clock_tick/clock_tick_01.wav,clock_tick,loop,40.547,true,0.2,CC0,https://freesound.org/people/keweldog/sounds/181812/,clock tick2.wav by keweldog
triggers/clock_tick/clock_tick_02.wav,clock_tick,loop,90.562,true,0.2,CC0,https://freesound.org/people/felix.blume/sounds/170377/,TicTac of a wall clock by felix.blume
triggers/fan_hum/fan_hum_01.wav,fan_hum,loop,121.405,true,0.4,CC0,https://freesound.org/people/dav0r/sounds/381258/,d0 gentle Computer hum with hard drive access by dav0r
triggers/fan_hum/fan_hum_02.wav,fan_hum,loop,24.652,true,0.4,CC0,https://freesound.org/people/lolamadeus/sounds/179356/,Noisy Hotel Bathroom Fan (constant).wav by lolamadeus; fs_loopable=True
triggers/air_conditioner_hum/air_conditioner_hum_01.wav,air_conditioner_hum,loop,21.178,true,0.35,CC0,https://freesound.org/people/tvilgiat/sounds/472665/,Room Noise 4 Low AC tone.wav by tvilgiat; fs_loopable=False
triggers/air_conditioner_hum/air_conditioner_hum_02.wav,air_conditioner_hum,loop,70.855,true,0.35,CC0,https://freesound.org/people/LilMati/sounds/515859/,Air Conditioner Fan Hum.wav by LilMati
triggers/refrigerator_hum/refrigerator_hum_01.wav,refrigerator_hum,loop,30.007,true,0.3,CC0,https://freesound.org/people/andysm/sounds/76580/,R09_0005B.wav by andysm
triggers/refrigerator_hum/refrigerator_hum_02.wav,refrigerator_hum,loop,156.448,true,0.3,CC0,https://freesound.org/people/brytonentertainment/sounds/369177/,Fluoresent_Light_Hum_and_Refrigerator.wav by brytonentertainment
triggers/washing_machine_hum/washing_machine_hum_01.wav,washing_machine_hum,loop,33.292,true,0.35,CC0,https://freesound.org/people/moviebuffgavin/sounds/411914/,Laundry Room Ambience by moviebuffgavin
triggers/washing_machine_hum/washing_machine_hum_02.wav,washing_machine_hum,loop,114.046,true,0.35,CC0,https://freesound.org/people/aerror/sounds/383095/,washing_machine_spin_cycle.wav by aerror
triggers/kettle_simmer/kettle_simmer_01.wav,kettle_simmer,texture,44.334,false,0.4,CC0,https://freesound.org/people/Diim_1/sounds/848589/,Loop Agua Hirviendo - Boiling Water by Diim_1
triggers/kettle_simmer/kettle_simmer_02.wav,kettle_simmer,texture,28.0,false,0.4,CC0,https://freesound.org/people/leo153/sounds/500544/,tea_kettle_gas_ignite.wav by leo153; fs_loopable=True
triggers/coffee_machine/coffee_machine_01.wav,coffee_machine,texture,19.437,false,0.35,CC0,https://freesound.org/people/connorgrail/sounds/578413/,Coffee_Tapping Tin.WAV by connorgrail; fs_loopable=False
triggers/coffee_machine/coffee_machine_02.wav,coffee_machine,texture,23.355,false,0.35,CC0,https://freesound.org/people/connorgrail/sounds/578416/,Espresso_Pouring.WAV by connorgrail; fs_loopable=False
triggers/coffee_machine/coffee_machine_03.wav,coffee_machine,texture,5.371,false,0.35,CC0,https://freesound.org/people/SpaceJoe/sounds/344457/,Coffee Machine - Empty.wav by SpaceJoe; fs_loopable=False
triggers/door_soft_close/door_soft_close_01.wav,door_soft_close,trigger,1.789,false,0.4,CC0,https://freesound.org/people/LampEight/sounds/402466/,Door Close Heavy Wooden Slow Quiet Seal Theatre by LampEight; fs_loopable=False
triggers/door_soft_close/door_soft_close_02.wav,door_soft_close,trigger,1.579,false,0.4,CC0,https://freesound.org/people/monochromerose0/sounds/619695/,Gentle Door Close.wav by monochromerose0; fs_loopable=False
triggers/door_soft_close/door_soft_close_03.wav,door_soft_close,trigger,2.851,false,0.4,CC0,https://freesound.org/people/VizAion/sounds/795627/,"Wood, Hit, Piano, Muffled 1 by VizAion; fs_loopable=False"
triggers/fabric_rustle/fabric_rustle_01.wav,fabric_rustle,texture,7.933,false,0.4,CC0,https://freesound.org/people/RossBell/sounds/389417/,Comforter Cloth Pass.wav by RossBell; fs_loopable=False
triggers/fabric_rustle/fabric_rustle_02.wav,fabric_rustle,texture,4.838,false,0.4,CC0,https://freesound.org/people/WhiteFire43/sounds/641380/,Clothing Ruffle 03-2.wav by WhiteFire43; fs_loopable=False
triggers/fabric_rustle/fabric_rustle_03.wav,fabric_rustle,texture,4.376,false,0.4,CC0,https://freesound.org/people/MWsfx/sounds/573723/,Sheets - Movement 1.wav by MWsfx; fs_loopable=False
triggers/broom_sweeping/broom_sweeping_01.wav,broom_sweeping,texture,23.857,false,0.4,CC0,https://freesound.org/people/daboy291/sounds/138067/,sweeping_tile_floor_with_broom.wav by daboy291; fs_loopable=False
triggers/broom_sweeping/broom_sweeping_02.wav,broom_sweeping,texture,8.14,false,0.4,CC0,https://freesound.org/people/180007/sounds/445516/,Sweeping.wav by 180007; fs_loopable=False
triggers/cooking_sizzle/cooking_sizzle_01.wav,cooking_sizzle,texture,30.981,false,0.4,CC0,https://freesound.org/people/timothyd4y/sounds/468911/,Bacon Sizzling by timothyd4y
triggers/cooking_sizzle/cooking_sizzle_02.wav,cooking_sizzle,texture,34.132,false,0.4,CC0,https://freesound.org/people/danielk0104/sounds/723879/,Sizzling steak by danielk0104
triggers/soft_footsteps/soft_footsteps_01.wav,soft_footsteps,trigger,6.526,false,0.4,CC0,https://freesound.org/people/Aerny/sounds/578706/,Shoes 02 | rubber sole.wav by Aerny; fs_loopable=True
triggers/soft_footsteps/soft_footsteps_02.wav,soft_footsteps,trigger,3.749,false,0.4,CC0,https://freesound.org/people/IENBA/sounds/702399/,Generic Footsteps by IENBA; fs_loopable=True
triggers/soft_footsteps/soft_footsteps_03.wav,soft_footsteps,trigger,7.509,false,0.4,CC0,https://freesound.org/people/iggy1345/sounds/76931/,footsteps on soft floor_bip.wav by iggy1345; fs_loopable=False
triggers/crowd_murmur/crowd_murmur_01.wav,crowd_murmur,loop,30.0,true,0.35,CC0,https://freesound.org/people/iamazerrad/sounds/274354/,Crowd Noise Calming down.wav by iamazerrad; fs_loopable=True
triggers/crowd_murmur/crowd_murmur_02.wav,crowd_murmur,loop,28.0,true,0.35,CC0,https://freesound.org/people/IENBA/sounds/653920/,Small Crowd Walla by IENBA; fs_loopable=True
triggers/tableware_ambience/tableware_ambience_01.wav,tableware_ambience,texture,5.5,false,0.35,CC0,https://freesound.org/people/brunoboselli/sounds/482933/,Hit on table by brunoboselli; fs_loopable=False
triggers/tableware_ambience/tableware_ambience_02.wav,tableware_ambience,texture,14.79,false,0.35,CC0,https://freesound.org/people/Vrymaa/sounds/797581/,Tableware - Handle plates by Vrymaa; fs_loopable=False
triggers/distant_traffic/distant_traffic_01.wav,distant_traffic,loop,139.5,true,0.35,CC0,https://freesound.org/people/njlyczko/sounds/580646/,urban_ambience_outside_apartment__sunny_day.wav by njlyczko
triggers/distant_traffic/distant_traffic_02.wav,distant_traffic,loop,103.169,true,0.35,CC0,https://freesound.org/people/johanwestling/sounds/460178/,forest_ambience_steady_breeze_summer_sweden_leaves_light_wind_distant_highway_loop_m10.wav by johanwestling
triggers/train_rumble/train_rumble_01.wav,train_rumble,loop,20.0,true,0.4,CC0,https://freesound.org/people/Profispiesser/sounds/517391/,FXSaSc Berlin Tram Passing Underpass Interior Rumble by Profispiesser; fs_loopable=True
triggers/train_rumble/train_rumble_02.wav,train_rumble,loop,196.284,true,0.4,CC0,https://freesound.org/people/nicotep/sounds/727491/,Trafic _Pont_Ferroviaire_Bercy3 by nicotep
triggers/subway_rumble/subway_rumble_01.wav,subway_rumble,loop,20.0,true,0.4,CC0,https://freesound.org/people/Profispiesser/sounds/517391/,FXSaSc Berlin Tram Passing Underpass Interior Rumble by Profispiesser; fs_loopable=True
triggers/subway_rumble/subway_rumble_02.wav,subway_rumble,loop,119.453,true,0.4,CC0,https://freesound.org/people/crashoverride6/sounds/219232/,DC Metro - Interior 2 by crashoverride6
triggers/airplane_cabin_hum/airplane_cabin_hum_01.wav,airplane_cabin_hum,loop,28.768,true,0.4,CC0,https://freesound.org/people/marc.om/sounds/806562/,"Inside Airplane, Bangkok, Thailand (Feb 20, 2019) by marc.om [from hq-mp3 preview]"
triggers/boat_hull_water/boat_hull_water_01.wav,boat_hull_water,loop,115.207,true,0.4,CC0,https://freesound.org/people/Berwitz/sounds/339440/,Rusty old boat.wav by Berwitz
triggers/boat_hull_water/boat_hull_water_02.wav,boat_hull_water,loop,119.161,true,0.4,CC0,https://freesound.org/people/kyles/sounds/637980/,waves lap at small boat hull motorboat +distant birds.flac by kyles
triggers/wind_chime/wind_chime_01.wav,wind_chime,trigger,4.04,false,0.35,CC0,https://freesound.org/people/Anthousai/sounds/398496/,wind chimes - single 04.wav by Anthousai; fs_loopable=False
triggers/wind_chime/wind_chime_02.wav,wind_chime,trigger,3.186,false,0.35,CC0,https://freesound.org/people/Anthousai/sounds/398492/,wind chimes - single 03.wav by Anthousai; fs_loopable=False
triggers/wind_chime/wind_chime_03.wav,wind_chime,trigger,9.633,false,0.35,CC0,https://freesound.org/people/the_very_Real_Horst/sounds/239040/,Solfeggio Wind Chimes Mi 528 Hz single-cut by the_very_Real_Horst; fs_loopable=False
